gene0	1630	0.76535
gene1	662	0.75872
gene2	4926	0.72337
gene3	946	0.48659
gene4	4514	0.87334
gene5	2958	0.53969
gene6	232	0.52998
gene7	3784	0.77440
gene8	2569	0.22156
gene9	1746	0.11174
gene10	4705	0.13300
gene11	2875	0.21941
gene12	2136	0.97065
gene13	2863	0.72308
gene14	337	0.72671
gene15	3426	0.06322
gene16	4740	0.60349
gene17	1244	0.53410
gene18	4124	0.91699
gene19	2644	0.87848
gene20	3606	0.35457
gene21	1255	0.56529
gene22	1752	0.51981
gene23	405	0.41897
gene24	4444	0.69324
gene25	2815	0.62023
gene26	1871	0.70068
gene27	4216	0.21645
gene28	4389	0.83636
gene29	1955	0.75397
gene30	2481	0.28653
gene31	2061	0.72339
gene32	4267	0.98238
gene33	2293	0.19794
gene34	1463	0.11490
gene35	1788	0.19530
gene36	4502	0.87189
gene37	4159	0.84868
gene38	2796	0.59375
gene39	156	0.04132
gene40	315	0.90963
gene41	1120	0.47983
gene42	975	0.69376
gene43	759	0.83282
gene44	2432	0.38075
gene45	3756	0.16807
gene46	809	0.84281
gene47	3748	0.70690
gene48	3035	0.03921
gene49	2282	0.67946
gene50	2526	0.66203
gene51	3724	0.99473
gene52	555	0.18807
gene53	1442	0.00208
gene54	3386	0.37403
gene55	2645	0.14289
gene56	4802	0.16189
gene57	381	0.98139
gene58	227	0.88111
gene59	604	0.34542
gene60	3859	0.17624
gene61	2770	0.50917
gene62	1807	0.18380
gene63	4441	0.45818
gene64	4916	0.89238
gene65	76	0.68195
gene66	2416	0.17269
gene67	3540	0.56030
gene68	857	0.53907
gene69	4491	0.77164
gene70	331	0.13392
gene71	2732	0.08317
gene72	743	0.16026
gene73	3165	0.96324
gene74	4197	0.49899
gene75	4306	0.22780
gene76	4288	0.45913
gene77	2583	0.10140
gene78	4941	0.81355
gene79	1478	0.83723
gene80	832	0.27353
gene81	548	0.49994
gene82	4493	0.91028
gene83	4945	0.12272
gene84	289	0.20071
gene85	648	0.59461
gene86	44	0.85255
gene87	161	0.32760
gene88	117	0.27918
gene89	2537	0.96503
gene90	3741	0.31595
gene91	3287	0.24820
gene92	2898	0.15939
gene93	3431	0.60656
gene94	589	0.77786
gene95	423	0.24062
gene96	618	0.87540
gene97	4402	0.04874
gene98	622	0.95302
gene99	4934	0.14607
gene100	1655	0.05346
gene101	1917	0.48977
gene102	745	0.53693
gene103	1125	0.84913
gene104	261	0.81619
gene105	4960	0.96140
gene106	4488	0.46542
gene107	4754	0.57561
gene108	1960	0.73819
gene109	2477	0.14231
gene110	4567	0.42742
gene111	3020	0.81367
gene112	4636	0.49332
gene113	2773	0.25406
gene114	4602	0.76267
gene115	2799	0.20531
gene116	2893	0.81021
gene117	2750	0.04784
gene118	2410	0.08964
gene119	3834	0.38043
gene120	4878	0.52329
gene121	1178	0.48239
gene122	4363	0.10016
gene123	640	0.11839
gene124	2146	0.16920
gene125	4663	0.94239
gene126	3329	0.62728
gene127	569	0.20453
gene128	4628	0.34513
gene129	2829	0.36774
gene130	658	0.02452
gene131	4954	0.27961
gene132	4414	0.97852
gene133	1307	0.71494
gene134	2494	0.28703
gene135	1072	0.74574
gene136	3192	0.60671
gene137	2538	0.39218
gene138	1450	0.63818
gene139	4475	0.38266
gene140	749	0.40648
gene141	1259	0.84266
gene142	2274	0.15532
gene143	842	0.51649
gene144	4352	0.89606
gene145	3173	0.99960
gene146	2985	0.19583
gene147	4906	0.34191
gene148	4717	0.21925
gene149	4733	0.24598
gene150	1246	0.60160
gene151	729	0.38234
gene152	1555	0.16552
gene153	33	0.30246
gene154	513	0.55799
gene155	209	0.69413
gene156	4438	0.07299
gene157	1764	0.00518
gene158	2947	0.90748
gene159	309	0.05178
gene160	874	0.07925
gene161	3429	0.77800
gene162	1075	0.87130
gene163	1006	0.86238
gene164	1699	0.90137
gene165	3701	0.05268
gene166	4746	0.61526
gene167	3334	0.53776
gene168	2005	0.33157
gene169	445	0.39734
gene170	633	0.86219
gene171	3391	0.99958
gene172	4570	0.51615
gene173	4438	0.41809
gene174	1567	0.33267
gene175	4105	0.34441
gene176	4883	0.79289
gene177	233	0.14356
gene178	1375	0.53832
gene179	3035	0.08791
gene180	2615	0.60388
gene181	3200	0.09969
gene182	3402	0.15952
gene183	878	0.81002
gene184	1324	0.51558
gene185	1989	0.80262
gene186	398	0.00723
gene187	3853	0.37739
gene188	4168	0.91771
gene189	994	0.51085
gene190	562	0.09663
gene191	4079	0.44048
gene192	2434	0.29474
gene193	1930	0.18434
gene194	1007	0.82033
