gene0	3783	0.73404
gene1	3699	0.50955
gene2	4572	0.57992
gene3	3974	0.30625
gene4	1340	0.00021
gene5	4142	0.90387
gene6	2681	0.30068
gene7	4146	0.40694
gene8	1384	0.03902
gene9	190	0.84844
gene10	2921	0.55876
gene11	1335	0.95833
gene12	1444	0.45706
gene13	4444	0.00685
gene14	1422	0.15409
gene15	2277	0.22429
gene16	720	0.34221
gene17	2681	0.78635
gene18	1174	0.33697
gene19	1635	0.11072
gene20	1135	0.10950
gene21	4217	0.25764
gene22	1293	0.86308
gene23	3412	0.15746
gene24	3678	0.50609
gene25	4524	0.32371
gene26	3350	0.67661
gene27	365	0.02918
gene28	3602	0.35582
gene29	4614	0.65843
gene30	3840	0.32107
gene31	1023	0.45785
gene32	4712	0.01434
gene33	2852	0.55778
gene34	4721	0.61218
gene35	1468	0.36913
gene36	2263	0.82702
gene37	408	0.40470
gene38	1063	0.39240
gene39	4383	0.43508
gene40	1951	0.47321
gene41	4002	0.37215
gene42	2167	0.65935
gene43	675	0.30238
gene44	3710	0.12235
gene45	4995	0.94091
gene46	2976	0.86568
gene47	3156	0.05206
gene48	3605	0.97911
gene49	3961	0.11775
gene50	1823	0.74807
gene51	547	0.60052
gene52	2026	0.78495
gene53	3613	0.26580
gene54	2697	0.25310
gene55	2629	0.23855
gene56	4965	0.68847
gene57	3800	0.70004
gene58	2304	0.03610
gene59	188	0.76188
gene60	4120	0.30496
gene61	3877	0.57037
gene62	1408	0.66645
gene63	3861	0.91427
gene64	4373	0.99699
gene65	410	0.91834
gene66	4444	0.28581
gene67	3267	0.40122
gene68	3444	0.69883
gene69	119	0.83277
gene70	3632	0.35098
gene71	3809	0.46672
gene72	886	0.70031
gene73	4239	0.14100
gene74	2365	0.75189
gene75	2251	0.30159
gene76	2802	0.80407
gene77	666	0.80752
gene78	1061	0.36910
gene79	1729	0.15059
gene80	1439	0.05110
gene81	2117	0.67779
gene82	1750	0.23035
gene83	2487	0.15967
gene84	3910	0.10875
gene85	290	0.41065
gene86	3444	0.59005
gene87	4594	0.99466
gene88	3630	0.19877
gene89	702	0.27731
gene90	3234	0.65592
gene91	3583	0.72311
gene92	3322	0.72904
gene93	4257	0.76894
gene94	2908	0.79867
gene95	2764	0.97033
gene96	353	0.23077
gene97	1711	0.94416
gene98	376	0.69272
gene99	4350	0.04631
gene100	730	0.31914
gene101	496	0.10182
gene102	556	0.58677
gene103	4914	0.16632
gene104	244	0.95886
gene105	4562	0.04578
gene106	4810	0.24751
gene107	4335	0.68782
gene108	2722	0.59645
gene109	68	0.42847
gene110	2782	0.40097
gene111	3054	0.07818
gene112	3876	0.68493
gene113	359	0.89028
gene114	2652	0.42246
gene115	2024	0.33372
gene116	2297	0.64885
gene117	1045	0.27651
gene118	4155	0.22984
gene119	1012	0.39784
gene120	1594	0.64692
gene121	4212	0.01049
gene122	822	0.77607
gene123	2364	0.17042
gene124	3701	0.18248
gene125	3520	0.43868
gene126	1211	0.81955
gene127	3736	0.58800
gene128	4751	0.90650
gene129	3376	0.14194
gene130	3960	0.89637
gene131	4633	0.11968
gene132	30	0.16923
gene133	4081	0.04906
gene134	2278	0.54571
gene135	1468	0.34948
gene136	865	0.46468
gene137	4907	0.58762
gene138	871	0.91346
gene139	4635	0.73262
gene140	1229	0.67203
gene141	3076	0.70818
gene142	579	0.55299
gene143	855	0.75190
gene144	2971	0.57768
gene145	609	0.70023
gene146	4527	0.24701
gene147	1245	0.76180
gene148	1710	0.03455
gene149	4181	0.69245
gene150	4261	0.72675
gene151	1106	0.78980
